Order_ID,Date,Region,Category,Product,Sales_USD,Quantity,Discount_Pct,Customer_Segment,Profit_Margin_Pct,Return_Status
ORD-1001,2025-05-12,North America,Hardware,Laptop Pro 15,1200,2,5,Enterprise,22,No
ORD-1002,2025-05-15,Europe,Software,Cloud Storage Sub,500,10,0,Small Business,45,No
ORD-1003,2025-06-01,Asia,Services,Data Migration,2500,1,10,Enterprise,15,No
ORD-1004,2025-06-14,North America,Hardware,Monitor 4K,450,5,2,Consumer,18,Yes
ORD-1005,2025-07-20,Europe,Software,Security Suite,800,3,0,Enterprise,35,No
ORD-1006,2025-08-05,Asia,Hardware,Laptop Pro 15,2400,2,5,Small Business,20,No
ORD-1007,2025-09-12,North America,Services,AI Consultation,5000,1,15,Enterprise,40,No
ORD-1008,2025-10-10,Europe,Hardware,Tablet Air,600,4,5,Consumer,12,No
ORD-1009,2025-11-22,Asia,Software,CRM License,1500,1,0,Small Business,50,No
ORD-1010,2025-12-05,North America,Hardware,Laptop Pro 15,3600,3,5,Enterprise,22,No
ORD-1011,2026-01-15,Europe,Services,Cloud Support,1200,2,0,Small Business,25,No
ORD-1012,2026-02-10,Asia,Hardware,Monitor 4K,900,2,2,Consumer,18,No
ORD-1013,2026-02-28,North America,Software,Security Suite,1600,2,5,Enterprise,35,No
ORD-1014,2026-03-12,Europe,Hardware,Laptop Pro 15,1200,1,0,Consumer,20,No
ORD-1015,2026-03-25,Asia,Services,Data Migration,2500,1,10,Enterprise,15,Yes
ORD-1016,2026-04-05,North America,Software,Cloud Storage Sub,1000,20,5,Small Business,45,No
ORD-1017,2026-04-10,Europe,Hardware,Tablet Air,1200,2,0,Enterprise,15,No
ORD-1018,2026-04-15,Asia,Hardware,Monitor 4K,450,1,0,Consumer,18,No
